time_stats.send_recv.min,time_stats.send_recv.max,time_stats.send_recv.mean,time_stats.send_recv.median,time_stats.send_recv.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node,link_type,devices
0.1023999974131584,0.1474560052156448,0.1185791999101638,0.1105920001864433,0.0158690290751285,0,2,1024,send_recv,2,8,NODE,0-2
0.1003519967198371,0.1280000060796737,0.1105920001864433,0.1085439994931221,0.0096712482404561,0,2,5120,send_recv,2,8,NODE,0-2
0.1013759970664978,0.1413120031356811,0.1208320006728172,0.1177600026130676,0.0131295823152102,0,2,9216,send_recv,2,8,NODE,0-2
0.1013759970664978,0.1157120019197464,0.1054719984531402,0.103423997759819,0.0051810774723992,0,2,13312,send_recv,2,8,NODE,0-2
0.1003519967198371,0.1146880015730857,0.1046527981758117,0.1023999974131584,0.0051972431200201,0,2,17408,send_recv,2,8,NODE,0-2
0.1023999974131584,0.1484799981117248,0.1146879985928535,0.103423997759819,0.0175937387545813,0,2,21504,send_recv,2,8,NODE,0-2
0.0634879991412162,0.0706560015678405,0.0669696003198623,0.0675840005278587,0.0030099340149019,0,2,25600,send_recv,2,8,NODE,0-2
0.0624639987945556,0.0706560015678405,0.0655359998345375,0.0645119994878768,0.0028963103562443,0,2,29696,send_recv,2,8,NODE,0-2
0.0624639987945556,0.0716800019145011,0.0657407999038696,0.0645119994878768,0.0032639760068365,0,2,33792,send_recv,2,8,NODE,0-2
0.0634879991412162,0.074752002954483,0.0694272011518478,0.0696320012211799,0.0040651653040173,0,2,37888,send_recv,2,8,NODE,0-2
0.0634879991412162,0.0716800019145011,0.0663552001118659,0.0645119994878768,0.0032639760068365,0,2,41984,send_recv,2,8,NODE,0-2
0.061439998447895,0.0706560015678405,0.0653311997652053,0.0645119994878768,0.002995966728331,0,2,46080,send_recv,2,8,NODE,0-2
0.061439998447895,0.0716800019145011,0.0659455999732017,0.0655359998345375,0.0035235136222156,0,2,50176,send_recv,2,8,NODE,0-2
0.061439998447895,0.0716800019145011,0.0653311997652053,0.0645119994878768,0.0036290664746062,0,2,54272,send_recv,2,8,NODE,0-2
0.0624639987945556,0.074752002954483,0.0669696003198623,0.0645119994878768,0.004373332732561,0,2,58368,send_recv,2,8,NODE,0-2
0.0634879991412162,0.0706560015678405,0.0663552001118659,0.0665600001811981,0.0027014984548078,0,2,62464,send_recv,2,8,NODE,0-2
0.0624639987945556,0.0706560015678405,0.0663552001118659,0.0665600001811981,0.0030651667689134,0,2,66560,send_recv,2,8,NODE,0-2
0.061439998447895,0.0706560015678405,0.0653311997652053,0.0634879991412162,0.0036290664746062,0,2,70656,send_recv,2,8,NODE,0-2
0.0624639987945556,0.0706560015678405,0.0651263996958732,0.0634879991412162,0.0029394339744377,0,2,74752,send_recv,2,8,NODE,0-2
0.0634879991412162,0.0696320012211799,0.0659455999732017,0.0655359998345375,0.0023883587046731,0,2,78848,send_recv,2,8,NODE,0-2
0.0624639987945556,0.0706560015678405,0.0659455999732017,0.0655359998345375,0.0029394339744377,0,2,82944,send_recv,2,8,NODE,0-2
0.0624639987945556,0.0706560015678405,0.0659455999732017,0.0665600001811981,0.0031461983634272,0,2,87040,send_recv,2,8,NODE,0-2
0.0624639987945556,0.0706560015678405,0.0663552001118659,0.0665600001811981,0.0030651667689134,0,2,91136,send_recv,2,8,NODE,0-2
0.0624639987945556,0.0788479968905448,0.0681983992457389,0.0675840005278587,0.0060268288091473,0,2,95232,send_recv,2,8,NODE,0-2
0.0624639987945556,0.0727040022611618,0.0661504000425338,0.0645119994878768,0.0036977615252869,0,2,99328,send_recv,2,8,NODE,0-2
