time_stats.all_reduce.min,time_stats.all_reduce.max,time_stats.all_reduce.mean,time_stats.all_reduce.median,time_stats.all_reduce.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node,link_type,devices
0.1064959987998008,0.1413120031356811,0.127590399980545,0.1269759982824325,0.0125179567290495,0,2,1024,all_reduce,2,8,NODE,0-2
0.0686080008745193,0.0870399996638298,0.0757760018110275,0.074752002954483,0.0062790485525433,0,2,5120,all_reduce,2,8,NODE,0-2
0.0665600001811981,0.0819199979305267,0.0720896005630493,0.0696320012211799,0.0052852676617638,0,2,9216,all_reduce,2,8,NODE,0-2
0.0675840005278587,0.0901120007038116,0.0784383997321128,0.0788479968905448,0.0088230536864371,0,2,13312,all_reduce,2,8,NODE,0-2
0.0573440007865428,0.0798719972372055,0.0665600001811981,0.0686080008745193,0.0084936453014381,0,2,17408,all_reduce,2,8,NODE,0-2
0.0563200004398822,0.0655359998345375,0.0600064001977443,0.0593920014798641,0.0032767995260657,0,2,21504,all_reduce,2,8,NODE,0-2
0.0573440007865428,0.0655359998345375,0.061235199868679,0.061439998447895,0.0027780417636155,0,2,25600,all_reduce,2,8,NODE,0-2
0.0593920014798641,0.0655359998345375,0.0614400006830692,0.0604160018265247,0.0023350784274631,0,2,29696,all_reduce,2,8,NODE,0-2
0.0583680011332035,0.0665600001811981,0.0620544001460075,0.061439998447895,0.002793099136719,0,2,33792,all_reduce,2,8,NODE,0-2
0.0593920014798641,0.0675840005278587,0.0620544008910656,0.0604160018265247,0.0031461967144563,0,2,37888,all_reduce,2,8,NODE,0-2
0.0225280001759529,0.1054719984531402,0.0626687996089458,0.061439998447895,0.0263500484529778,0,2,41984,all_reduce,2,8,NODE,0-2
0.0563200004398822,0.0686080008745193,0.0595968008041381,0.0583680011332035,0.004597748693119,0,2,46080,all_reduce,2,8,NODE,0-2
0.0563200004398822,0.0665600001811981,0.0587776005268096,0.0563200004398822,0.0039712192235046,0,2,50176,all_reduce,2,8,NODE,0-2
0.0552960000932216,0.0655359998345375,0.0581632003188133,0.0563200004398822,0.0038532888844101,0,2,54272,all_reduce,2,8,NODE,0-2
0.0563200004398822,0.0645119994878768,0.0587776005268096,0.0573440007865428,0.0029394325209394,0,2,58368,all_reduce,2,8,NODE,0-2
0.0552960000932216,0.0655359998345375,0.0583680003881454,0.0563200004398822,0.0037203765791022,0,2,62464,all_reduce,2,8,NODE,0-2
0.0552960000932216,0.0634879991412162,0.0573440000414848,0.0563200004398822,0.003105945359527,0,2,66560,all_reduce,2,8,NODE,0-2
0.0552960000932216,0.0634879991412162,0.057753600180149,0.0563200004398822,0.0030788187528864,0,2,70656,all_reduce,2,8,NODE,0-2
0.0552960000932216,0.0634879991412162,0.0579584002494812,0.0573440007865428,0.002867199533752,0,2,74752,all_reduce,2,8,NODE,0-2
0.0552960000932216,0.0634879991412162,0.0585728004574775,0.0583680011332035,0.0028525336010429,0,2,78848,all_reduce,2,8,NODE,0-2
0.0563200004398822,0.0645119994878768,0.0585728004574775,0.0573440007865428,0.0030651653252561,0,2,82944,all_reduce,2,8,NODE,0-2
0.0552960000932216,0.0634879991412162,0.0589823998510837,0.0583680011332035,0.0030788184555233,0,2,87040,all_reduce,2,8,NODE,0-2
0.0573440007865428,0.0634879991412162,0.0604160003364086,0.0604160018265247,0.0020479992032053,0,2,91136,all_reduce,2,8,NODE,0-2
